model,image,precision,recall,f1,mean_iou,true_pos,false_pos,false_neg
RGB-augment,img3392,0.53125,0.6296296296296297,0.5762711864406779,0.8653383344179272,17,15,10
RGB-augment,img3402,0.625,0.7692307692307693,0.6896551724137931,0.7998168964103488,10,6,3
RGB-augment,img3405,0.3333333333333333,0.5,0.4,0.7462973052199328,3,6,3
RGB-augment,img3407,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.8166145874091159,19,11,11
RGB-augment,img343,0.9361702127659575,0.9777777777777777,0.9565217391304347,0.8644302198259777,44,3,1
RGB-augment,img3439,0.64,0.6153846153846154,0.6274509803921569,0.8059902791250788,16,9,10
RGB-augment,img3442,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.856162671029176,26,2,8
RGB-augment,img3445,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8276426916579049,51,6,6
RGB-augment,img3446,0.9310344827586207,0.8852459016393442,0.9075630252100839,0.8443308374191045,54,4,7
RGB-augment,img3453,0.8181818181818182,0.84375,0.8307692307692308,0.8513893416459659,27,6,5
RGB-augment,img3458,0.9736842105263158,0.9487179487179487,0.9610389610389611,0.8390522796860396,37,1,2
RGB-augment,img3469,0.875,0.875,0.875,0.7986054247544215,35,5,5
RGB-augment,img347,0.78125,0.8064516129032258,0.7936507936507936,0.8116164516042604,25,7,6
RGB-augment,img3481,1.0,1.0,1.0,0.8668309595561934,8,0,0
RGB-augment,img349,1.0,0.9230769230769231,0.9600000000000001,0.8313978118899754,36,0,3
RGB-augment,img3498,0.9,0.9,0.9,0.8781880549542793,9,1,1
RGB-augment,img3500,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8492912521722525,26,2,2
RGB-augment,img3507,0.9767441860465116,0.8235294117647058,0.8936170212765957,0.8751263731535505,42,1,9
RGB-augment,img3515,0.625,0.5555555555555556,0.5882352941176471,0.8140543726770593,10,6,8
RGB-augment,img3517,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.7895075314841565,20,8,4
RGB-augment,img3520,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8379824753285783,36,7,7
RGB-augment,img3523,1.0,0.75,0.8571428571428571,0.8371909834459429,6,0,2
RGB-augment,img3536,0.9333333333333333,0.6363636363636364,0.7567567567567568,0.827925009704083,14,1,8
RGB-augment,img3538,0.78125,0.6578947368421053,0.7142857142857143,0.8091077719852396,25,7,13
RGB-augment,img3539,0.8571428571428571,0.8,0.8275862068965518,0.8248436309760906,36,6,9
RGB-augment,img3546,0.9090909090909091,0.9302325581395349,0.9195402298850575,0.8428359030542364,40,4,3
RGB-augment,img3547,0.8888888888888888,0.8695652173913043,0.8791208791208792,0.8098635624463959,40,5,6
RGB-augment,img3548,0.7,0.6363636363636364,0.6666666666666666,0.8007497396673137,14,6,8
RGB-augment,img3569,0.94,0.9791666666666666,0.9591836734693877,0.8744806720454941,47,3,1
RGB-augment,img3570,0.9574468085106383,0.9,0.9278350515463918,0.8116126957497954,45,2,5
RGB-augment,img3571,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.8553815033508507,39,4,4
RGB-augment,img3573,0.9056603773584906,0.8888888888888888,0.897196261682243,0.8359387127486956,48,5,6
RGB-augment,img358,1.0,0.5,0.6666666666666666,0.878396820890607,1,0,1
RGB-augment,img3589,0.8958333333333334,0.8269230769230769,0.86,0.8360358515483256,43,5,9
RGB-augment,img359,0.7872340425531915,0.5211267605633803,0.6271186440677966,0.8552805023929975,37,10,34
RGB-augment,img3591,0.7916666666666666,0.8636363636363636,0.8260869565217391,0.7425146765556184,19,5,3
RGB-augment,img3595,0.7878787878787878,0.896551724137931,0.8387096774193549,0.8786474824310745,26,7,3
RGB-augment,img3611,0.7948717948717948,0.8157894736842105,0.8051948051948051,0.8265982383698705,31,8,7
RGB-augment,img3618,0.8103448275862069,0.7966101694915254,0.8034188034188032,0.8535018956158207,47,11,12
RGB-augment,img3619,0.8648648648648649,0.8,0.8311688311688312,0.8230013662950448,32,5,8
RGB-augment,img3626,0.675,0.675,0.675,0.7929649261609063,27,13,13
RGB-augment,img3631,0.9607843137254902,0.9607843137254902,0.9607843137254902,0.8854735274771943,49,2,2
RGB-augment,img3638,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.823652773985564,24,9,9
RGB-augment,img3639,0.7083333333333334,0.7906976744186046,0.7472527472527473,0.8221604198534075,34,14,9
RGB-augment,img364,1.0,0.8333333333333334,0.9090909090909091,0.8169638433984134,5,0,1
RGB-augment,img3644,0.78125,0.8928571428571429,0.8333333333333334,0.8235817496952927,25,7,3
RGB-augment,img3650,0.86,0.8958333333333334,0.8775510204081632,0.8652850765494025,43,7,5
RGB-augment,img3655,1.0,0.8947368421052632,0.9444444444444444,0.864230374364333,17,0,2
RGB-augment,img3656,1.0,0.9,0.9473684210526316,0.8427942535068736,18,0,2
RGB-augment,img3671,0.9722222222222222,0.9210526315789473,0.9459459459459458,0.8316567806109069,35,1,3
RGB-augment,img3674,0.9285714285714286,0.8666666666666667,0.896551724137931,0.8423293008329117,39,3,6
RGB-augment,img3675,0.8333333333333334,0.6756756756756757,0.746268656716418,0.8338880694478406,25,5,12
RGB-augment,img3679,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.8782233108034817,41,2,2
RGB-augment,img368,1.0,0.9166666666666666,0.9565217391304348,0.8512013733611077,33,0,3
RGB-augment,img3702,0.5357142857142857,0.6521739130434783,0.5882352941176471,0.8110952509133813,15,13,8
RGB-augment,img371,0.5,0.5,0.5,0.6826810493103036,3,3,3
RGB-augment,img3722,0.7,0.6363636363636364,0.6666666666666666,0.8299638033630449,21,9,12
RGB-augment,img3727,0.9130434782608695,0.9333333333333333,0.9230769230769231,0.8483830527988393,42,4,3
RGB-augment,img3731,0.9142857142857143,0.8,0.8533333333333333,0.8104088069291102,32,3,8
RGB-augment,img3738,1.0,0.9565217391304348,0.9777777777777777,0.8602248345184452,44,0,2
RGB-augment,img3740,0.5128205128205128,0.7692307692307693,0.6153846153846154,0.8012418404346958,20,19,6
RGB-augment,img3752,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.863167454924171,8,3,1
RGB-augment,img3753,0.7692307692307693,0.8333333333333334,0.8,0.8190186322755517,10,3,2
