image,precision,recall,f1,mean_iou,true_pos,false_pos,false_neg,model
img529,0.8571428571428571,0.7894736842105263,0.8219178082191781,0.8149856667835766,30,5,8,RGB-augment
img5292,0.5555555555555556,1.0,0.7142857142857143,0.9450122741167913,5,4,0,RGB-augment
img5294,1.0,1.0,1.0,0.8919207626089916,10,0,0,RGB-augment
img530,0.9534883720930233,0.9318181818181818,0.942528735632184,0.8571592050385,41,2,3,RGB-augment
img5309,1.0,1.0,1.0,0.8882960485174245,4,0,0,RGB-augment
img5311,0.9545454545454546,0.875,0.9130434782608695,0.8763810131289974,42,2,6,RGB-augment
img5316,0.975609756097561,0.975609756097561,0.975609756097561,0.8761503655855162,40,1,1,RGB-augment
img5317,0.9047619047619048,0.926829268292683,0.9156626506024096,0.8816087309400549,38,4,3,RGB-augment
img5319,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8680875650497629,10,1,1,RGB-augment
img5321,0.3888888888888889,0.7777777777777778,0.5185185185185185,0.7649712474507481,7,11,2,RGB-augment
img5324,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.8712671248632771,8,4,3,RGB-augment
img5346,0.6666666666666666,0.631578947368421,0.6486486486486486,0.8092858261977679,12,6,7,RGB-augment
img5348,0.9354838709677419,0.90625,0.9206349206349206,0.8602677654805704,29,2,3,RGB-augment
img5349,0.5172413793103449,0.7894736842105263,0.625,0.8424746830162069,15,14,4,RGB-augment
img5360,0.8448275862068966,0.875,0.8596491228070176,0.8550242982441898,49,9,7,RGB-augment
img5361,0.8333333333333334,0.851063829787234,0.8421052631578947,0.8628161961008611,40,8,7,RGB-augment
img5364,0.9830508474576272,0.9206349206349206,0.9508196721311476,0.8607523636756007,58,1,5,RGB-augment
img5370,1.0,1.0,1.0,0.8205164153816703,5,0,0,RGB-augment
img5388,0.9642857142857143,0.9473684210526315,0.9557522123893805,0.8375001498462835,54,2,3,RGB-augment
img5393,1.0,0.926829268292683,0.9620253164556963,0.8626534551735886,38,0,3,RGB-augment
img5398,1.0,0.8888888888888888,0.9411764705882353,0.8899728083760262,8,0,1,RGB-augment
img5409,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.8415291373146873,8,5,5,RGB-augment
img5411,0.5,0.5,0.5,0.8644696745177808,1,1,1,RGB-augment
img5413,0.7272727272727273,0.7619047619047619,0.7441860465116279,0.8292346794933856,16,6,5,RGB-augment
img5419,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8395588117405152,21,5,5,RGB-augment
img542,0.0,0.0,0.0,0.0,0,0,0,RGB-augment
img543,0.2,0.25,0.22222222222222224,0.7708447643779959,1,4,3,RGB-augment
img5430,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.757682431880105,6,3,3,RGB-augment
img5431,0.8636363636363636,0.95,0.9047619047619048,0.8129885348792972,19,3,1,RGB-augment
img5432,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8278757475677992,23,3,5,RGB-augment
img5437,0.8545454545454545,0.7966101694915254,0.8245614035087718,0.8479173781866144,47,8,12,RGB-augment
img5443,0.8813559322033898,0.896551724137931,0.888888888888889,0.8726127479763037,52,7,6,RGB-augment
img5456,0.3181818181818182,0.35,0.3333333333333333,0.817792789837565,7,15,13,RGB-augment
img5463,0.9361702127659575,0.7857142857142857,0.854368932038835,0.8314750166011483,44,3,12,RGB-augment
img5467,0.98,0.9607843137254902,0.9702970297029702,0.8697347401466806,49,1,2,RGB-augment
